,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,Frame,X,Y,Interior,ROI_coordinates,Distance_px,Distance_cm
0,behaviour.mp4,99.5,True,0.9,100.0,0.0,0,122.7488803168768,316.0680094234603,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",0.0,0.0
1,behaviour.mp4,99.5,True,0.9,100.0,0.0,1,118.3656450272169,316.1333762368273,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",4.3837226674151735,0.6570746289167361
2,behaviour.mp4,99.5,True,0.9,100.0,0.0,2,113.17477580614387,316.6485676125058,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",5.216372822551781,0.781880264038369
3,behaviour.mp4,99.5,True,0.9,100.0,0.0,3,109.55024342213227,317.9231989497292,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",3.842124418675268,0.575894660357602
4,behaviour.mp4,99.5,True,0.9,100.0,0.0,4,109.23857010948424,318.6645297454162,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",0.8041838113583608,0.1205388249938524
5,behaviour.mp4,99.5,True,0.9,100.0,0.0,5,111.21183616426575,318.2364545259084,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",2.019165004775388,0.30265192323782436
6,behaviour.mp4,99.5,True,0.9,100.0,0.0,6,113.55878492405775,317.716616217085,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",2.403830349340316,0.3603092746975513
7,behaviour.mp4,99.5,True,0.9,100.0,0.0,7,114.29966807644949,317.4894266288345,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",0.774934161401703,0.11615460538204292
8,behaviour.mp4,99.5,True,0.9,100.0,0.0,8,113.06859176791735,315.90667986939997,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",2.005152408653682,0.30055158019713213
9,behaviour.mp4,99.5,True,0.9,100.0,0.0,9,112.01497117847993,315.13935738684887,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",1.3034186352491857,0.1953689548943369
10,behaviour.mp4,99.5,True,0.9,100.0,0.0,10,109.33175533917908,313.1564366022917,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",3.336408559829526,0.500093090436595
11,behaviour.mp4,99.5,True,0.9,100.0,0.0,11,105.43309830835635,309.561781185491,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",5.30293071890613,0.7948543962866534
12,behaviour.mp4,99.5,True,0.9,100.0,0.0,12,102.17477496785256,308.06643806258035,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",3.5850693224131582,0.5373647635548066
13,behaviour.mp4,99.5,True,0.9,100.0,0.0,13,102.39404291662218,307.7895537525355,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",0.35319025256461956,0.052939561132808906
14,behaviour.mp4,99.5,True,0.9,100.0,0.0,14,104.71443818072355,306.49928848995677,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",2.654998800278704,0.39795682432989277
15,behaviour.mp4,99.5,True,0.9,100.0,0.0,15,106.00166022535518,301.8134287736106,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",4.859446663300394,0.7283807291831981
16,behaviour.mp4,99.5,True,0.9,100.0,0.0,16,106.33802477724561,296.30570197736336,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",5.517988362969652,0.8270893099410037
17,behaviour.mp4,99.5,True,0.9,100.0,0.0,17,106.39842938905896,290.149181418874,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",6.156816880842784,0.9228430889022133
18,behaviour.mp4,99.5,True,0.9,100.0,0.0,18,105.56478865587309,291.6443551015973,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",1.7118706766385863,0.2565916858670683
19,behaviour.mp4,99.5,True,0.9,100.0,0.0,19,105.25706713780919,294.1844415890352,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",2.5586582218702545,0.3835163693536016
20,behaviour.mp4,99.5,True,0.9,100.0,0.0,20,105.80647431386348,294.67114166621553,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",0.7339790257407135,0.11001585468809291
21,behaviour.mp4,99.5,True,0.9,100.0,0.0,21,105.59763905021745,294.4005510683703,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",0.34180614240288565,0.051233200916258256
22,behaviour.mp4,99.5,True,0.9,100.0,0.0,22,105.06610650197472,293.26898507700054,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",1.2501873630244646,0.18739013846422542
23,behaviour.mp4,99.5,True,0.9,100.0,0.0,23,105.10333244468141,293.14660090642496,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",0.12792050663546087,0.01917395916788178
24,behaviour.mp4,99.5,True,0.9,100.0,0.0,24,105.17904654835515,293.5614175968307,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",0.4216699089741913,0.06320395243614758
25,behaviour.mp4,99.5,True,0.9,100.0,0.0,25,105.8054089350819,292.87212276214836,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",0.9313738286133093,0.13960329136872618
26,behaviour.mp4,99.5,True,0.9,100.0,0.0,26,106.36825827455236,289.40032555615846,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",3.517125988426007,0.5271807614282995
