Unnamed: 0,File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,Frame,X,Y,Interior,ROI_coordinates,Distance_px,Distance_cm,Quadrant
0,behaviour.mp4,99.5,True,0.9,100.0,0.0,0,122.7488803168768,316.0680094234603,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",0.0,0.0,Bottom Left
1,behaviour.mp4,99.5,True,0.9,100.0,0.0,1,118.3656450272169,316.1333762368273,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",4.3837226674151735,0.6570746289167361,Bottom Left
2,behaviour.mp4,99.5,True,0.9,100.0,0.0,2,113.17477580614388,316.6485676125058,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",5.216372822551781,0.781880264038369,Bottom Left
3,behaviour.mp4,99.5,True,0.9,100.0,0.0,3,109.55024342213228,317.9231989497292,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",3.842124418675268,0.575894660357602,Bottom Left
4,behaviour.mp4,99.5,True,0.9,100.0,0.0,4,109.23857010948424,318.6645297454162,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",0.8041838113583608,0.1205388249938524,Bottom Left
5,behaviour.mp4,99.5,True,0.9,100.0,0.0,5,111.21183616426576,318.2364545259084,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",2.019165004775388,0.3026519232378243,Bottom Left
6,behaviour.mp4,99.5,True,0.9,100.0,0.0,6,113.55878492405776,317.716616217085,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",2.403830349340316,0.3603092746975513,Bottom Left
7,behaviour.mp4,99.5,True,0.9,100.0,0.0,7,114.29966807644948,317.4894266288345,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",0.774934161401703,0.1161546053820429,Bottom Left
8,behaviour.mp4,99.5,True,0.9,100.0,0.0,8,113.06859176791735,315.9066798694,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",2.005152408653682,0.3005515801971321,Bottom Left
9,behaviour.mp4,99.5,True,0.9,100.0,0.0,9,112.01497117847993,315.13935738684887,False,"{'xs': [[115.54302619485294, 115.54302619485294, 290.02096737132354, 288.5908203125, 288.5908203125]], 'ys': [[127.76094314079424, 295.93783844765346, 294.54794675090255, 127.76094314079424, 127.76094314079424]]}",1.3034186352491857,0.1953689548943369,Bottom Left
