File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,Frame,X,Y,Distance_px
behaviour.mp4,99.5,True,0.9,100.0,0.0,0,162.0828264909613,329.9093174522723,0.0
behaviour.mp4,99.5,True,0.9,100.0,0.0,1,157.3870331404524,327.90165263896193,5.1069749552243175
behaviour.mp4,99.5,True,0.9,100.0,0.0,2,152.64604400801784,328.41670232652416,4.768883950624134
behaviour.mp4,99.5,True,0.9,100.0,0.0,3,149.27874050915588,330.1328271549799,3.7793937715313883
behaviour.mp4,99.5,True,0.9,100.0,0.0,4,147.96168624197702,331.76258568746454,2.0954104172931136
behaviour.mp4,99.5,True,0.9,100.0,0.0,5,149.78458749649323,331.0512527244869,1.9567737651387542
behaviour.mp4,99.5,True,0.9,100.0,0.0,6,152.1098913162806,330.54442858711167,2.3798967541773473
behaviour.mp4,99.5,True,0.9,100.0,0.0,7,154.527426438296,332.37026789635485,3.0295486874047204
behaviour.mp4,99.5,True,0.9,100.0,0.0,8,152.9174498404511,331.3437076539756,1.9094110549700758
behaviour.mp4,99.5,True,0.9,100.0,0.0,9,151.2653888041821,327.9173382705293,3.803854994525512
behaviour.mp4,99.5,True,0.9,100.0,0.0,10,148.30732683720828,323.726876800915,5.129336987250762
behaviour.mp4,99.5,True,0.9,100.0,0.0,11,144.94902552049842,320.442318352143,4.697500605344813
behaviour.mp4,99.5,True,0.9,100.0,0.0,12,141.60041914076143,318.49358190709046,3.874369422072612
behaviour.mp4,99.5,True,0.9,100.0,0.0,13,142.073277515741,317.9449572340954,0.7242817646518975
behaviour.mp4,99.5,True,0.9,100.0,0.0,14,144.73895739394496,316.68691911291063,2.947627711807498
behaviour.mp4,99.5,True,0.9,100.0,0.0,15,146.38302073050346,312.4612823985858,4.534197822775904
behaviour.mp4,99.5,True,0.9,100.0,0.0,16,146.64564698534497,306.93196671945753,5.5355491533528856
behaviour.mp4,99.5,True,0.9,100.0,0.0,17,146.6370212859241,300.67740096893704,6.254571698387872
behaviour.mp4,99.5,True,0.9,100.0,0.0,18,145.92041270851325,302.0649515931094,1.5616736496015928
behaviour.mp4,99.5,True,0.9,100.0,0.0,19,145.66681037416896,304.4297156860521,2.378323644766586
behaviour.mp4,99.5,True,0.9,100.0,0.0,20,146.19032162879907,305.10545429784145,0.8548021438832586
behaviour.mp4,99.5,True,0.9,100.0,0.0,21,146.08216124646145,304.3158281880391,0.7969994112852131
